,city,cloud,country,date,humidity,lat,lon,temp_max,wind speed
267,Horodniceni,0,RO,1559418902,82,47.53,26.16,59.0,10.29
268,Grand Gaube,75,MU,1559418902,94,-20.01,57.66,75.2,6.93
269,Ponta do Sol,0,BR,1559418814,78,-20.63,-46.0,67.91,3.87
270,Bowen,90,AU,1559418902,88,-20.01,148.25,63.0,6.46
271,Laguna,75,MX,1559418902,48,27.52,-110.01,86.0,6.93
272,At-Bashi,95,KG,1559418903,69,41.17,75.81,51.71,1.12
273,Pisco,40,PE,1559418817,30,-13.71,-76.2,71.6,10.29
274,Coquimbo,0,CL,1559418834,63,-29.95,-71.34,62.6,13.87
275,Tallahassee,1,US,1559418706,52,30.44,-84.28,99.0,17.22
276,Yingkou,0,CN,1559418903,62,40.67,122.24,60.35,10.45
277,Vestmannaeyjar,98,IS,1559418903,70,63.44,-20.27,43.79,13.24
278,La Ronge,20,CA,1559418904,33,55.1,-105.3,57.2,11.41
279,La Palma,100,CO,1559418904,94,5.36,-74.39,75.11,2.44
280,Manaure,20,CO,1559418904,74,11.78,-72.45,86.0,16.11
281,Banepa,75,NP,1559418905,93,27.63,85.52,64.4,2.24
282,Maldonado,40,UY,1559418905,67,-34.91,-54.96,60.8,5.82
283,Bossangoa,97,CF,1559418905,62,6.5,17.45,80.51,8.16
284,Hay River,40,CA,1559418905,33,60.82,-115.79,62.6,17.22
285,Otsuki,90,JP,1559418905,88,35.64,138.92,69.01,4.7
286,Pangody,29,RU,1559418906,86,65.85,74.49,29.03,3.4
287,Hailar,0,CN,1559418906,70,49.2,119.7,47.75,1.99
288,Shubarshi,81,KZ,1559418906,39,48.59,57.19,77.45,6.91
289,Pleszew,0,PL,1559418906,100,51.9,17.79,70.0,6.29
290,Vanimo,100,PG,1559418907,75,-2.67,141.3,83.21,14.56
291,Beringovskiy,92,RU,1559418818,68,63.05,179.32,43.79,3.89
292,Pathein,98,MM,1559418907,82,16.78,94.73,81.95,3.69
293,Okha,99,RU,1559418907,97,53.59,142.95,36.05,7.54
294,Leshukonskoye,41,RU,1559418694,57,64.9,45.76,46.85,5.55
295,Antalaha,86,MG,1559418908,99,-14.9,50.28,65.21,3.27
296,Tomatlan,63,MX,1559418908,63,19.93,-105.25,83.21,14.52
297,Tuatapere,7,NZ,1559418908,69,-46.13,167.69,51.17,16.17
298,Rocha,97,UY,1559418825,78,-34.48,-54.34,55.31,2.77
299,Eureka,90,US,1559418908,100,40.8,-124.16,62.01,6.93
300,Jabinyanah,20,TN,1559418909,60,35.03,10.91,68.0,10.29
301,Kasongo-Lunda,40,CD,1559418909,66,-6.48,16.82,70.97,2.95
302,Anadyr,0,RU,1559418909,52,64.73,177.51,44.6,13.42
303,Jeremie,47,HT,1559418909,65,18.65,-74.12,83.57,2.04
304,Bestobe,2,KZ,1559418909,87,52.5,73.1,57.47,6.29
305,Manicore,99,BR,1559418910,92,-5.81,-61.3,80.69,2.28
306,Buraydah,0,SA,1559418803,20,26.33,43.97,95.0,4.7
307,Kivsharivka,69,UA,1559418910,93,49.63,37.68,65.39,8.95
308,Kamenka,24,RU,1559418910,71,53.19,44.05,69.01,5.26
309,Baloda,100,IN,1559418910,31,22.15,82.48,96.71,7.25
310,Xacmaz,88,AZ,1559418911,48,41.46,48.81,68.99,7.94
311,Iskateley,0,RU,1559418911,63,67.68,53.15,43.07,8.55
312,Saint-Leu,31,RE,1559418911,60,-21.15,55.28,72.0,8.05
313,Ushtobe,100,KZ,1559418911,31,45.25,77.98,78.71,4.05
314,Nola,100,CF,1559418911,94,3.52,16.05,70.97,1.66
315,Greiz,76,DE,1559418912,72,50.66,12.2,68.0,2.24
316,Chuy,4,UY,1559418838,68,-33.69,-53.46,60.17,7.56
317,Cervo,40,BR,1559418912,60,-22.19,-46.24,73.4,2.04
318,Haines Junction,62,CA,1559418809,30,60.75,-137.51,54.41,9.48
319,Necochea,11,AR,1559418737,76,-38.55,-58.74,57.0,4.0
320,Dhidhdhoo,88,MV,1559418912,75,6.88,73.1,85.19,12.77
321,Bull Savanna,44,JM,1559418912,71,17.89,-77.59,84.83,11.48
322,Kavaratti,61,IN,1559418913,70,10.57,72.64,85.91,3.76
323,Saskylakh,0,RU,1559418813,70,71.97,114.09,40.37,9.31
324,Aykhal,0,RU,1559418913,32,65.95,111.51,51.8,6.71
325,Nishihara,90,JP,1559418913,88,35.74,139.53,72.0,4.7
326,Uporovo,39,RU,1559418913,80,56.31,66.27,53.87,6.04
327,Yabelo,100,ET,1559418913,93,4.89,38.09,62.69,0.76
328,Diamantino,13,BR,1559418914,50,-14.4,-56.44,83.93,3.36
329,Koulikoro,20,ML,1559418725,41,12.86,-7.56,95.0,5.82
330,Marzuq,88,YE,1559418832,32,14.4,46.47,80.33,3.58
331,Ust-Kuyga,75,RU,1559418631,83,70.0,135.55,41.99,7.31
332,Raudeberg,94,NO,1559418914,75,61.99,5.14,46.99,5.82
333,Zacualtipan,42,MX,1559418915,55,20.65,-98.6,72.95,15.61
334,Honiara,75,SB,1559418915,94,-9.43,159.96,77.0,5.82
335,Morant Bay,20,JM,1559418915,66,17.88,-76.41,86.0,11.41
336,Nueva Imperial,90,CL,1559418915,82,-38.75,-72.95,57.2,17.22
337,Padang,100,ID,1559418915,76,-0.92,100.36,81.05,2.44
338,Omboue,62,GA,1559418916,81,-1.57,9.26,78.17,15.21
339,Vila,0,IT,1559418916,43,45.18,8.4,75.99,3.36
340,Lima,90,PE,1559418903,77,-12.06,-77.04,66.2,5.82
341,Kaseda,100,JP,1559418643,92,31.42,130.32,68.0,11.36
342,Taiobeiras,1,BR,1559418916,63,-15.81,-42.23,69.89,3.67
343,Paamiut,19,GL,1559418917,93,61.99,-49.67,36.05,8.34
344,Santiago de Cao,0,PE,1559418917,83,-7.96,-79.24,69.8,12.75
345,Soyo,75,AO,1559418917,83,-6.13,12.37,75.2,6.93
346,Shushtar,0,IR,1559418917,13,32.05,48.86,91.4,2.24
347,Hofn,100,IS,1559418917,77,64.25,-15.21,29.39,6.69
348,Chadiza,17,ZM,1559418918,69,-14.06,32.43,55.31,5.55
349,Nianzishan,0,CN,1559418918,87,47.51,122.88,47.75,6.42
350,Yarim,100,YE,1559418918,57,14.3,44.38,71.69,4.54
351,Starozhilovo,0,RU,1559418918,75,54.23,39.91,55.0,5.01
352,Saint Anthony,1,US,1559418919,43,43.97,-111.68,71.01,7.0
353,Chute-aux-Outardes,75,CA,1559418919,41,49.12,-68.38,60.8,17.22
354,Avera,40,US,1559418919,27,33.19,-82.53,93.2,6.93
355,Batagay-Alyta,90,RU,1559418919,75,67.8,130.41,41.81,2.21
356,San Carlos de Bariloche,40,AR,1559418919,76,-41.13,-71.31,48.2,21.92
357,Urucara,100,BR,1559418920,91,-2.54,-57.76,81.77,1.81
358,Hualmay,100,PE,1559418920,91,-11.1,-77.61,62.33,17.49
359,Seoul,40,KR,1559418848,93,37.57,126.98,59.0,2.24
360,El Alto,75,BO,1559418920,19,-16.5,-68.19,59.0,10.29
361,Balasore,100,IN,1559418920,74,21.5,86.92,83.93,3.91
362,Roebourne,0,AU,1559418814,16,-20.77,117.15,61.43,16.84
363,Aksarayskiy,0,RU,1559418921,53,46.79,48.01,71.6,4.47
364,Rio Grande,0,BR,1559418921,72,-32.03,-52.1,64.4,6.93
365,Deputatskiy,0,RU,1559418921,84,69.3,139.9,44.15,4.16
366,Brignoles,0,FR,1559418921,82,43.41,6.06,69.01,10.29
367,Mopipi,0,BW,1559418922,36,-21.2,24.86,61.97,1.21
368,Solnechnyy,94,RU,1559418922,79,50.72,136.64,47.57,1.59
369,Mantua,0,IT,1559418922,46,45.16,10.79,75.2,5.82
370,Salalah,40,OM,1559418922,79,17.01,54.1,86.0,5.82
371,Saraland,75,US,1559418658,69,30.82,-88.07,93.99,9.17
